id;date;clientId;nit;products;1;2;3
7082659997;7/28/2020;883495;7034859086;1111111111;7;2222222222;2
4080355580;4/27/2020;883495;7034859086;2222222222;2;1111111111;2
3680463863;8/11/2020;1723258601;5749334872;2222222222;9;6734957456;2
6285893748;7/13/2020;6590222983;2754740910;5647382910;4;6734957456;6
0262975416;6/8/2020;8738703483;4609328968;5555555555;1;6578901234;1
3969475031;4/5/2020;1108053475;7225785265;8712658490;5;8712658490;4
4011131008;4/8/2020;3086550279;2771029251;8712658490;4;5647382910;8
4951463482;4/25/2020;1786409976;3164662661;1111111111;9;5647382910;9
6025580219;9/18/2020;1570820805;8591764323;4444444444;3;6578901234;7
0663931673;8/14/2020;3576274685;3272345213;1111111111;1;3987678909;4
6243578968;9/23/2020;1406199869;5322555048;6578901234;5;6578901234;8
1789426502;9/13/2020;1499929536;1694873153;4444444444;4;8712658490;8
8996076945;8/25/2020;8153075705;9425482969;6734957456;2;5555555555;2
4820617958;7/11/2020;0958680892;0775146153;6578901234;4;3987678909;2
1583038620;6/24/2020;5216317414;9492894343;3987678909;8;3987678909;3
5751062957;7/30/2020;0627597785;2628529319;4444444444;9;8712658490;1
4691636234;8/26/2020;2175471764;8209029541;1111111111;2;6578901234;5
0680572031;7/10/2020;7214412764;9521152850;3333333333;5;6734957456;3
5579973829;9/22/2020;7330098310;2880545722;3333333333;9;2222222222;4
7794584965;4/10/2020;3042618110;0205345387;6578901234;4;2222222222;1
3651477576;6/30/2020;9173705942;6425430044;3987678909;1;8712658490;4
1021890588;7/30/2020;4655421835;5888927864;3333333333;7;5555555555;6
6833762198;6/23/2020;2827587157;4292991685;6734957456;2;6734957456;4
0759807000;5/5/2020;4255214891;0778349918;4444444444;8;5647382910;4
5127704196;8/14/2020;1590903110;5808288649;5647382910;2;3987678909;6
7293350457;6/2/2020;3883919748;1555366627;5647382910;8;6578901234;4
9202623333;5/9/2020;0593143205;9983573342;8712658490;7;6578901234;6
4988697886;5/21/2020;7439822811;0665625243;5555555555;4;8712658490;2
6112024802;5/1/2020;1643832212;9883906552;3987678909;9;8712658490;2
3747648541;7/25/2020;5597344722;2220786641;1111111111;1;1111111111;7
4043943156;6/2/2020;6315660991;3724748469;2222222222;9;3333333333;4
5924269329;8/4/2020;5565035430;4608120654;3333333333;1;8712658490;2
9783186094;8/19/2020;6796611195;6055346257;3333333333;9;5555555555;1
0551699779;6/22/2020;7572762085;6894683158;8712658490;8;2222222222;3
9750643739;9/5/2020;6754637854;7167195669;2222222222;8;5555555555;8
9626643145;6/4/2020;0807535923;1160172692;3333333333;7;5555555555;8
1402995288;6/17/2020;0726755257;1896588026;4444444444;4;3333333333;7
9729218765;5/21/2020;0801128048;0882407643;2222222222;7;5647382910;4
0109695348;6/10/2020;3118287993;1550620029;5647382910;1;4444444444;2
3978393581;7/8/2020;4314419881;0038743604;5647382910;9;1111111111;6
7071429545;8/18/2020;3959061536;4678011145;1111111111;9;5647382910;1
0052565769;7/19/2020;6062246726;8347949972;5647382910;3;6578901234;7
8800649025;4/20/2020;8991479758;2187496724;4444444444;4;8712658490;3
1641223200;6/12/2020;7973351779;8648247535;6734957456;7;5555555555;8
2938295502;4/1/2020;0365967327;4075429997;8712658490;8;6734957456;6
7156316826;6/7/2020;0351736948;1067560939;6578901234;6;6734957456;4
4169434137;5/21/2020;2185429884;1441890408;3987678909;8;3333333333;9
7119172646;4/13/2020;0685059510;7695931039;6578901234;1;6734957456;5
3184609723;4/4/2020;4359888465;5884088450;4444444444;3;3987678909;5
9734904272;8/10/2020;4694229605;9849042664;3987678909;7;2222222222;5
9611689098;7/9/2020;3425656961;6921196410;2222222222;4;6734957456;9
1770833234;4/16/2020;7262950029;4647369730;8712658490;3;6734957456;2
6640258692;4/23/2020;6287240296;0384212603;5647382910;6;5647382910;9
5181477895;5/17/2020;8653858598;3940787418;3987678909;6;1111111111;9
3460176083;7/5/2020;1091799466;1946574554;1111111111;2;3333333333;9
5728138667;5/2/2020;4412601471;9752826091;1111111111;4;6578901234;1
5311094338;6/20/2020;2075911045;8413893062;6734957456;9;8712658490;1
5535998427;7/18/2020;6441130335;2879363500;6734957456;2;5647382910;1
4284193686;4/26/2020;8458038560;0330580418;6578901234;1;5555555555;4
6274794131;8/24/2020;2264268654;8296955407;4444444444;5;5555555555;3
0013743600;5/10/2020;1469673142;4689710414;5555555555;2;8712658490;1
6677148815;7/27/2020;6600489111;6259931360;6734957456;5;5555555555;6
7522126916;7/7/2020;7607521682;0068965478;4444444444;1;1111111111;5
8310600801;4/2/2020;4211623125;6824275999;5555555555;3;5555555555;2
3277729575;6/1/2020;4454986053;6908712699;5647382910;5;2222222222;6
3996337698;5/19/2020;2092406930;5480498339;1111111111;2;5555555555;3
0674785975;4/29/2020;8900019716;5718763909;4444444444;3;3333333333;9
7562010420;9/23/2020;4596052875;9958788616;4444444444;8;6578901234;4
2798596297;8/23/2020;4339476234;4754386000;3987678909;2;6578901234;6
5055759348;8/19/2020;9221071413;1682955508;6734957456;8;6578901234;6
7676667828;4/12/2020;8172043538;0993492584;3987678909;3;1111111111;8
4399298774;6/13/2020;7527031301;4157801423;1111111111;4;3333333333;3
2411255411;5/23/2020;1237789672;6778704977;5555555555;4;1111111111;1
0016920791;6/5/2020;0688201725;0301107556;4444444444;8;5555555555;1
1284509974;6/20/2020;4751279912;0954302117;5555555555;8;8712658490;5
1667891537;5/12/2020;6303250971;9937192110;5555555555;1;6734957456;5
5556446741;6/15/2020;5907014199;4488100015;3333333333;7;5555555555;5
6800290823;5/11/2020;3277589064;4845469286;3987678909;5;5647382910;5
8588638819;8/25/2020;2395954144;7059728600;3333333333;4;4444444444;6
4051885933;9/19/2020;2370428325;0737157011;6578901234;5;4444444444;6
2807892833;9/10/2020;0902321730;6825150308;4444444444;1;2222222222;3
8767907245;7/29/2020;1715265041;9946467054;4444444444;6;5555555555;4
3809168718;8/22/2020;7386056443;0022631836;1111111111;9;4444444444;4
8104677632;8/20/2020;1788374223;5007626740;2222222222;8;6578901234;6
6795431312;4/20/2020;5906333088;8440072058;1111111111;2;4444444444;5
2308272783;5/26/2020;4862427413;3403828573;1111111111;4;3987678909;4
4306057410;8/10/2020;5894873142;8292583416;8712658490;8;2222222222;9
9609335888;6/25/2020;4445495662;5352010457;3333333333;8;3333333333;1
2614682896;4/12/2020;2837384267;8234176897;5555555555;2;5647382910;1
7854144338;7/6/2020;2981547984;2595725823;8712658490;4;6578901234;9
1486131646;7/13/2020;2649392215;2629148858;2222222222;8;6578901234;9
2718381191;6/6/2020;6803012042;9756455942;6734957456;2;5555555555;5
2031797948;6/28/2020;8150675701;7608203854;8712658490;4;5555555555;5
9396532460;5/23/2020;8395640951;1249276594;4444444444;1;3333333333;6
2152263898;8/16/2020;6444381002;4859995503;1111111111;4;5555555555;1
5369756856;5/19/2020;8298262549;7579182408;2222222222;8;3333333333;9
9318465165;9/8/2020;1067419217;9570775793;6578901234;3;6578901234;9
3918320634;8/17/2020;9033601877;2266021087;6578901234;4;1111111111;9
5073761189;6/6/2020;1025010361;2815202204;1111111111;2;6578901234;5
2129076122;8/21/2020;2159230847;8557971974;5555555555;9;5555555555;7
6334687557;7/30/2020;2201371180;6190331564;5647382910;1;1111111111;3
4881204203;6/16/2020;2265905291;4840548927;2222222222;1;6734957456;2
6780993042;8/24/2020;0003231941;4127621648;2222222222;1;6734957456;6
3871590223;4/11/2020;9352658957;9120221991;8712658490;8;3987678909;3
6612188995;8/4/2020;4296663089;5848774528;6734957456;2;3333333333;5
3445251525;8/16/2020;8515520818;0665095740;1111111111;5;1111111111;7
6997798691;8/15/2020;8457059238;1786389614;1111111111;3;5647382910;6
2179558600;5/27/2020;8988736230;4600945751;6578901234;6;6734957456;7
2612274391;9/15/2020;9730799776;2380163812;4444444444;3;3987678909;6
0869376985;6/16/2020;9895587449;2810516057;3333333333;3;6578901234;3
4535978972;7/11/2020;8487197639;2516915756;5555555555;2;5555555555;5
9970532839;4/27/2020;7194258056;9804331675;8712658490;6;8712658490;4
0815469020;6/26/2020;7334432193;3528981407;5555555555;3;5647382910;7
9186292757;7/9/2020;6687489151;9288313893;5555555555;6;1111111111;2
6043672405;4/23/2020;7779322505;0086778994;8712658490;8;6734957456;4
9543123195;4/19/2020;5881798805;6890801482;5647382910;6;6734957456;4
3705119672;7/18/2020;0490129463;2155328052;4444444444;1;5555555555;7
3288078457;4/11/2020;9211367018;1098640241;2222222222;7;5555555555;2
6239516503;7/8/2020;4385155119;9511983180;5647382910;8;3987678909;2
6565405212;5/25/2020;9200822029;1604288477;6734957456;5;4444444444;8
8036308924;5/24/2020;4266876955;8691456612;6578901234;4;2222222222;8
3159211924;4/3/2020;0854427155;9777859244;1111111111;8;3333333333;6
0182241807;5/28/2020;6548472799;8596697462;6578901234;4;6734957456;3
9252949380;7/4/2020;3859587633;1731293143;2222222222;1;5647382910;1
9024496306;4/16/2020;6381355751;8110544037;2222222222;1;1111111111;4
6978723509;6/29/2020;1193075653;4811157818;5647382910;6;4444444444;5
8341518228;5/30/2020;9800406867;1653826878;8712658490;4;6578901234;5
7094801602;8/12/2020;4091258972;9869997465;5555555555;3;5647382910;9
9665473581;5/13/2020;6840191311;7011550194;3333333333;5;8712658490;5
6722495000;4/5/2020;0685811638;6867358810;3333333333;5;3987678909;1
2083550412;7/27/2020;3597911935;7368072262;5647382910;2;8712658490;7
9703983316;9/23/2020;5338097885;2340716365;4444444444;2;5555555555;2
6255521419;6/26/2020;8017733232;5594940227;5647382910;1;8712658490;4
7930488012;4/26/2020;2098180128;0059596929;6578901234;2;3987678909;1
